BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0121412_7   W-S-I+  0.87    1.18       283         240      52.44  0       301    18        0          8            6
SUPA0121412_8   W-S-I+  0.87    1.22       293         240      52.38  0       303    10        1          10           2
SUPA0121412_9   W-S-I+  0.87    1.24       297         240      52.49  0       309    12        0          4            0
SUPA0121413_1   W-S-I+  0.99    1.20       289         240      55.36  0       291    2         0          6            1
SUPA0121413_10  W-S-I+  0.99    1.36       327         240      55.36  0       332    5         0          9            7
SUPA0121413_2   W-S-I+  0.99    1.05       253         240      53.06  0       279    26        0          13           3
SUPA0121413_3   W-S-I+  0.99    1.22       293         240      53.14  0       297    4         0          6            2
SUPA0121413_4   W-S-I+  0.99    1.35       323         240      53.18  0       333    10        0          8            3
SUPA0121413_5   W-S-I+  0.99    1.21       290         240      55.39  0       294    4         0          4            4
SUPA0121413_6   W-S-I+  0.99    1.12       269         240      54.88  0       282    13        2          8            1
SUPA0121413_7   W-S-I+  0.99    1.18       284         240      52.91  0       303    19        0          5            6
SUPA0121413_8   W-S-I+  0.99    1.12       269         240      52.83  0       279    10        0          6            2
SUPA0121413_9   W-S-I+  0.99    1.25       299         240      52.94  0       314    15        0          9            3
SUPA0121414_1   W-S-I+  0.96    1.14       273         240      56.12  0       278    5         0          5            3
SUPA0121414_10  W-S-I+  0.96    1.12       269         240      56.12  0       277    8         0          10           5
SUPA0121414_2   W-S-I+  0.96    0.98       236         240      53.82  0       246    10        1          3            4
SUPA0121414_3   W-S-I+  0.96    1.04       249         240      53.87  0       259    10        0          9            2
SUPA0121414_4   W-S-I+  0.96    1.17       281         240      53.93  0       283    2         0          6            4
SUPA0121414_5   W-S-I+  0.96    0.97       232         240      56.35  0       285    53        0          6            3
SUPA0121414_6   W-S-I+  0.96    1.20       288         240      55.66  0       296    8         1          4            3
SUPA0121414_7   W-S-I+  0.96    1.04       249         240      53.60  0       277    28        0          4            2
SUPA0121414_8   W-S-I+  0.96    1.17       280         240      53.57  0       295    15        0          9            4
SUPA0121414_9   W-S-I+  0.96    1.14       273         240      53.76  0       291    18        0          6            3
SUPA0121415_1   W-S-I+  0.97    1.22       293         240      56.00  0       305    12        0          9            4
SUPA0121415_10  W-S-I+  0.97    1.05       251         240      56.00  0       254    3         0          6            4
SUPA0121415_2   W-S-I+  0.97    1.19       286         240      53.59  0       293    7         0          8            1
SUPA0121415_3   W-S-I+  0.97    1.21       290         240      53.49  0       296    6         0          8            5
SUPA0121415_4   W-S-I+  0.97    1.07       258         240      53.70  0       271    13        0          2            3
SUPA0121415_5   W-S-I+  0.97    1.18       283         240      55.96  0       321    38        0          8            5
SUPA0121415_6   W-S-I+  0.97    1.13       272         240      55.36  0       280    8         0          3            6
SUPA0121415_7   W-S-I+  0.97    1.01       242         240      53.43  0       263    21        0          4            4
SUPA0121415_8   W-S-I+  0.97    1.03       248         240      53.33  0       259    11        1          8            4
SUPA0121415_9   W-S-I+  0.97    1.02       245         240      53.54  0       250    5         0          7            6
