#      name         ra(2000.0)  dec(2000.0)   g   gerr   r   rerr   i   ierr    z     zerr
J122650.3+215629 12 26 50.372 +21 56 29.474 22.90 0.03 20.76 0.03 20.44 0.03 0.43481 0.00012
J122629.3+215617 12 26 29.312 +21 56 17.424 22.13 0.03 20.00 0.03 19.65 0.03 0.42949 0.00010
J122642.7+215807 12 26 42.773 +21 58 07.630 22.75 0.03 20.77 0.03 20.36 0.03 0.57155 0.00015
J122650.4+214442 12 26 50.471 +21 44 42.037 22.37 0.03 20.34 0.03 20.08 0.03 0.37859 0.00011
J122656.3+214854 12 26 56.353 +21 48 54.098 23.10 0.03 21.08 0.03 20.77 0.03 0.43751 0.00015
J122654.5+214426 12 26 54.521 +21 44 26.382 22.64 0.03 20.56 0.03 20.26 0.03 0.43877 0.00014
J122653.4+214913 12 26 53.478 +21 49 13.784 22.93 0.03 20.78 0.03 20.35 0.03 0.44214 0.00014
J122643.5+214243 12 26 43.590 +21 42 43.186 21.72 0.03 19.67 0.03 19.39 0.03 0.34813 0.00012
J122633.4+214645 12 26 33.483 +21 46 45.743 22.90 0.03 20.91 0.03 20.63 0.03 0.35459 0.00016
J122641.5+214829 12 26 41.598 +21 48 29.159 22.80 0.03 20.68 0.03 20.40 0.03 0.43132 0.00014
J122648.6+214947 12 26 48.647 +21 49 47.650 22.48 0.03 20.40 0.03 20.14 0.03 0.44485 0.00012
J122625.1+214734 12 26 25.166 +21 47 34.571 22.81 0.03 20.84 0.03 20.59 0.03 0.43117 0.00017
J122604.4+214125 12 26 04.431 +21 41 25.066 22.34 0.03 20.29 0.03 20.11 0.03 0.45895 0.00013
J122643.4+214949 12 26 43.407 +21 49 49.400 23.05 0.03 21.10 0.03 20.74 0.03 0.45906 0.00015
J122633.1+215056 12 26 33.116 +21 50 56.060 22.97 0.03 20.85 0.03 20.58 0.03 0.43686 0.00010
J122547.7+214404 12 25 47.714 +21 44 04.093 21.98 0.03 20.18 0.03 19.98 0.03 0.35617 0.00012
J122556.5+214545 12 25 56.583 +21 45 45.827 22.48 0.03 20.66 0.03 20.41 0.03 0.33632 0.00016
J122644.7+215114 12 26 44.762 +21 51 14.236 22.80 0.03 20.77 0.03 20.51 0.03 0.43943 0.00014
J122621.8+214901 12 26 21.815 +21 49 01.370 21.11 0.03 19.09 0.03 18.81 0.03 0.34793 0.00009
J122608.6+214734 12 26 08.646 +21 47 34.955 21.31 0.03 19.44 0.03 19.15 0.03 0.43462 0.00010
J122649.3+215223 12 26 49.387 +21 52 23.037 22.75 0.03 20.71 0.03 20.38 0.03 0.43515 0.00014
J122550.6+214911 12 25 50.684 +21 49 11.285 23.69 0.03 21.59 0.03 21.24 0.03 0.54931 0.00013
J122556.3+215117 12 25 56.364 +21 51 17.133 22.35 0.03 20.15 0.03 19.81 0.03 0.43741 0.00014
J122558.6+215053 12 25 58.612 +21 50 53.224 22.31 0.03 20.27 0.03 19.90 0.03 0.43400 0.00016
J122621.8+215105 12 26 21.841 +21 51 05.048 22.31 0.03 20.27 0.03 19.99 0.03 0.40282 0.00009
J122616.4+215117 12 26 16.454 +21 51 17.099 23.04 0.03 21.13 0.03 20.62 0.03 0.54353 0.00021
