# Mbpz_ra Mbpz_dec zspec_ra zspec_dec zspec_z Mbpz_z Mbpz_odds d2d_arcsec
186.72081453036333 21.83368568264477 186.72088749999998 21.833780277777777 0.44504 0.46 1.0 0.4188443519834687
186.72674186553087 21.816759806942915 186.72679166666666 21.816821944444445 0.43568 0.46 1.0 0.27882395848424896
186.72909780983133 21.82585093275683 186.7291708333333 21.825929722222224 0.43313 0.42 1.0 0.37417721559758754
186.7326574464412 21.818295908315907 186.73271249999996 21.818344166666666 0.4323 0.44 1.0 0.25305442576595544
186.73366376691965 21.826095126583596 186.73373333333333 21.826164166666665 0.43858 0.52 1.0 0.3403297474552297
186.7318130387725 21.839280289633436 186.73187083333332 21.839366944444443 0.43661 0.41 1.0 0.3669002892938641
186.73180473167477 21.851647498474154 186.73187083333332 21.85173027777778 0.43678 0.45 1.0 0.3709313182078891
186.73694257975592 21.826199464898988 186.73701666666665 21.82626722222222 0.43152 0.46 1.0 0.3475668808418197
186.73447360073297 21.8442768229775 186.73454166666664 21.84433361111111 0.43594 0.48 1.0 0.3058186526200756
186.7370174675959 21.836292007393794 186.73707499999998 21.8363725 0.43656 0.43 1.0 0.3477513592146917
186.73917448130538 21.82538665063957 186.73924166666666 21.825446944444444 0.43603 0.41 1.0 0.31229471069061265
186.74448130827773 21.83075503086671 186.74455416666663 21.83082 0.44071 0.45 1.0 0.3376191531208862
186.70065165502558 21.88161269554034 186.70063749999997 21.881504166666666 0.4304 0.45 1.0 0.3935551065851248
186.7019000821518 21.88956375283349 186.7018875 21.889475 0.4328 0.44 1.0 0.32226278056096386
186.70552666915646 21.88892871082737 186.70550416666666 21.888845555555555 0.4315 0.44 1.0 0.3086521721609408
186.71330052706156 21.853301398976793 186.7132583333333 21.85315527777778 0.433 0.47 1.0 0.5446009265834978
186.71039095532473 21.88178885081107 186.71037499999997 21.881664166666667 0.4407 0.43 1.0 0.45201649818795897
186.71247998529725 21.87412998068698 186.7124625 21.874065277777778 0.4321 0.46 1.0 0.24014357958135937
186.71535432256923 21.873724161494575 186.7156208333333 21.87360388888889 0.4375 0.47 0.90276 0.990063277981043
186.71799192472508 21.862602709906295 186.7179708333333 21.862465 0.4388 0.46 1.0 0.5007388972820659
186.72054082228425 21.875540288324473 186.72050416666664 21.875404444444445 0.4338 0.43 1.0 0.5041371122401193
186.72727663230694 21.87672636716142 186.72747916666665 21.876575555555554 0.4384 0.5 1.0 0.8675115014758492
186.71217542383528 21.874591572740183 186.71214166666664 21.874462222222224 0.4375 0.47 1.0 0.479123618101852
186.71467775813502 21.815444816267963 186.71467499999997 21.81535138888889 0.4399 0.51 1.0 0.3364648651555379
186.71227661278277 21.832136669206697 186.71224999999998 21.83215138888889 0.4385 0.48 1.0 0.1035248083968299
186.715576840789 21.828492988375217 186.71556249999998 21.82849111111111 0.4326 0.44 1.0 0.04839940236035869
186.71782724218698 21.83111777624441 186.71782083333332 21.831111944444444 0.4348 0.44 1.0 0.029991112518410794
186.70027937774523 21.83952557853881 186.70028749999997 21.839534722222222 0.4339 0.44 1.0 0.04266390731673833
186.7045172947938 21.833197440773326 186.70449999999997 21.833202222222223 0.431 0.44 1.0 0.06030414663339387
186.70657602129398 21.83532583168367 186.70639166666663 21.835144166666666 0.4362 0.52 1.0 0.8984661728862507
186.7398744689349 21.830475149305595 186.73986666666664 21.83046138888889 0.4336 0.43 1.0 0.055980468715827854
