name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122700.7+215512 12h27m00.798s +21d55m12.591s 21.55 0.03 19.51 0.03 19.16 0.03 0.48347 0.00010
J122730.4+220452 12h27m30.406s +22d04m52.003s 22.39 0.03 20.39 0.03 20.07 0.03 0.45994 0.00010
J122739.4+220238 12h27m39.419s +22d02m38.595s 22.27 0.03 20.23 0.03 19.92 0.03 0.43486 0.00011
J122709.6+215615 12h27m09.620s +21d56m15.755s 22.95 0.03 20.99 0.03 20.71 0.03 0.43843 0.00019
J122726.9+220050 12h27m26.906s +22d00m50.619s 22.17 0.03 20.08 0.03 19.71 0.03 0.45971 0.00014
J122729.3+220058 12h27m29.348s +22d00m58.743s 21.58 0.03 19.54 0.03 19.21 0.03 0.51711 0.00010
J122702.6+215305 12h27m02.670s +21d53m05.403s 22.72 0.03 20.57 0.03 20.15 0.03 0.52057 0.00013
J122702.8+215335 12h27m02.845s +21d53m35.005s 21.46 0.03 19.39 0.03 19.10 0.03 0.53412 0.00007
J122743.0+220105 12h27m43.085s +22d01m05.376s 22.17 0.03 20.06 0.03 19.74 0.03 0.43671 0.00011
J122745.3+220243 12h27m45.322s +22d02m43.168s 23.09 0.03 21.04 0.03 20.70 0.03 0.46010 0.00012
J122733.8+215513 12h27m33.838s +21d55m13.724s 22.42 0.03 20.24 0.03 19.89 0.03 0.46009 0.00009
J122741.7+215739 12h27m41.711s +21d57m39.402s 22.58 0.03 20.43 0.03 20.08 0.03 0.46207 0.00013
J122742.6+215711 12h27m42.612s +21d57m11.834s 20.89 0.03 18.87 0.03 18.63 0.03 0.36946 0.00008
J122705.8+215228 12h27m05.848s +21d52m28.222s 22.96 0.03 20.92 0.03 20.53 0.03 0.52461 0.00016
J122755.7+215405 12h27m55.745s +21d54m05.066s 21.96 0.03 19.96 0.03 19.67 0.03 0.45940 0.00009
J122745.2+215521 12h27m45.234s +21d55m21.998s 21.80 0.03 19.72 0.03 19.40 0.03 0.45833 0.00008
J122757.5+215440 12h27m57.528s +21d54m40.662s 22.90 0.03 20.74 0.03 20.42 0.03 0.45900 0.00015
J122725.6+215316 12h27m25.613s +21d53m16.081s 22.94 0.03 20.95 0.03 20.61 0.03 0.46117 0.00014
J122718.1+215218 12h27m18.164s +21d52m18.121s 23.08 0.03 20.94 0.03 20.61 0.03 0.48345 0.00012
J122754.8+215016 12h27m54.814s +21d50m16.722s 22.02 0.03 19.98 0.03 19.75 0.03 0.51052 0.00013
J122708.0+215203 12h27m08.035s +21d52m03.132s 22.98 0.03 21.01 0.03 20.59 0.03 0.52303 0.00013
J122758.9+214517 12h27m58.942s +21d45m17.709s 23.31 0.03 21.25 0.03 20.96 0.03 0.43667 0.00020
J122747.9+215020 12h27m47.963s +21d50m20.890s 22.50 0.03 20.44 0.03 20.14 0.03 0.45871 0.00015
J122759.4+214547 12h27m59.487s +21d45m47.063s 22.48 0.03 20.85 0.03 20.49 0.03 0.54456 0.00013
J122803.0+214858 12h28m03.091s +21d48m58.815s 22.06 0.03 19.96 0.03 19.75 0.03 0.42458 0.00011
J122652.5+215209 12h26m52.518s +21d52m09.991s 22.27 0.03 20.16 0.03 19.86 0.03 0.43020 0.00011
J122722.1+214944 12h27m22.181s +21d49m44.326s 22.07 0.03 20.01 0.03 19.73 0.03 0.39547 0.00011
J122728.6+214623 12h27m28.656s +21d46m23.977s 22.79 0.03 20.78 0.03 20.46 0.03 0.43216 0.00015
J122705.7+215036 12h27m05.706s +21d50m36.106s 22.83 0.03 20.86 0.03 20.59 0.03 0.43340 0.00016
J122759.1+214151 12h27m59.176s +21d41m51.742s 21.78 0.03 20.02 0.03 19.90 0.03 0.30266 0.00012
J122723.2+214428 12h27m23.269s +21d44m28.607s 21.96 0.03 19.86 0.03 19.53 0.03 0.43718 0.00009
J122720.4+214748 12h27m20.427s +21d47m48.214s 22.47 0.03 20.36 0.03 20.07 0.03 0.43299 0.00013
