FILE            	DOTHIS                                	TOTHIS        	
SUPA0142775.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142776.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142777.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142778.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142779.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142671.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142672.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142673.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142674.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142675.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142676.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142677.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142678.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142679.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142680.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142681.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142682.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142683.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142684.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142685.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142686.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142687.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142688.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142689.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142690.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142691.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142692.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142693.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142694.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142695.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142696.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142697.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142698.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142699.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142700.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142701.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142702.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142703.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142704.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142705.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142706.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142707.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142708.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142709.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142710.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142711.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142712.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
SUPA0142713.fits	SUPERFLAT_2013-12-01_W-S-Z+           	Abell2744_2013	
